1800**43.7037**-79.4056** 474 Oriole Pkwy, Toronto, ON M5P 2H8
11198**43.6403982197**-79.3925790781** Mariner Terrace, Toronto, ON M5V 3V9, Canada (Entertainment District)
1950**43.7092**-79.3937** 170 Roehampton Avenue, Toronto, ON M4P 1R3
3254**43.7696924989**-79.3689449505** Singer Ct, Toronto, ON M2K 2X6, Canada
3150**43.6447**-79.3764** 18 Yonge Street, Toronto, ON M5E 1Z8
2398**43.6473621967**-79.4238778863** Dovercourt Rd, Toronto, ON M6J 3C7, Canada (Little Portugal)
3386**43.643859936**-79.4049741962** King Street West, Toronto, ON M5V, Canada (Niagara)
580**43.6643**-79.4716**  Quebec Avenue, Toronto, ON M6P 1R1
1850**43.7289**-79.6459** 3409 Monica Drive, Mississauga, ON L4T 2E4
897**43.6604023028**-79.3440146189** Empire Ave, Toronto, ON M4M 1H9, Canada (Studio District)
1856**43.7349385229**-79.2621280365** Eglinton Avenue East, Toronto, ON M1K 5J8, Canada (Ionview)
1650**43.6696**-79.3851**  Hayden Street, Toronto, ON M4W 3T5
1600**43.7146**-79.451** 760 Lawrence Avenue West, Toronto, ON M6A 1B7
2850**43.6429**-79.3803** 55 Bremner Boulevard, Toronto, ON M5J 0A6
1400**43.6645**-79.3415** 319 Carlaw Avenue, Toronto, ON M4M 2S1 (Leslieville)
1292**43.8038025814**-79.3474530153** Picola Ct, Toronto, ON M2H 2N4, Canada (Hillcrest Village)
1875**43.6711**-79.2934** 27 Scarboro Beach Boulevard, Toronto, ON M4E 2X1
2933**43.5959390573**-79.6356257175** Absolute Ave, Mississauga, ON L4Z 4E8, Canada
973**43.6597548474**-79.3710206256** Sherbourne St, Toronto, ON M5A, Canada (Garden District)
1600**43.6496**-79.3597** 70 Distillery Lane, Toronto, ON M5A 2Y1
1306**43.6636503703**-79.4439343322** Wallace Ave, Toronto, ON M6H 1V2, Canada (Wallace Emerson)
1810**43.7572696408**-79.4240383812** Bogert Ave, Toronto, ON M2N 1L3, Canada (Armour Heights)
450**43.7755**-79.329**  Hickorynut Drive, Toronto, ON M2J 4W6
3132**43.7790217473**-79.4122298627** Holmes Ave, Toronto, ON M2N 4L9, Canada (Willowdale)
1600**43.7096**-79.384** 411 Eglinton Avenue East, Toronto, ON M4P 1M4
1950**43.6406961852**-79.413769199** Western Battery Rd, Toronto, ON M6K 3S1, Canada (Niagara)
730**43.7684563756**-79.4990145405** Cook Rd, Toronto, ON M3J 3T1, Canada (York University Heights)
2750**43.6599**-79.3855** 750 Bay Street, Toronto, ON M5G 2J9
2950**43.6492**-79.3868** 126 Simcoe Street, Toronto, ON M5H 4H1
1483**43.6833775042**-79.2844875774** Victoria Park Avenue, Toronto, ON M4E 3S7, Canada (The Danforth)
1450**43.7673**-79.4099** 188 Doris Avenue, Toronto, ON M2N 3T5
2650**43.6911**-79.3796**  Clair Avenue East &amp; Welland Avenue, Toronto, ON M4T
1177**43.6458822023**-79.4082879206** Richmond St, Toronto, ON M6J 1C4, Canada (Niagara)
1736**43.7586385947**-79.3179690453** Pynford Crescent, Toronto, ON M3A 1W7, Canada (Parkwoods)
7102**43.6818080253**-79.32461657** Parkmount Rd, Toronto, ON M4J 1K2, Canada (Greenwood-Coxwell)
1170**43.7776**-79.4541** 120 Torresdale Ave, Toronto, ON M2R 3N7
2200**43.7021**-79.4191** 800 Spadina Road, Toronto, ON M5P 2X5
1500**43.6535**-79.3685** 313 Richmond Street East, Toronto, ON M5A
3317**43.6661009059**-79.47597581** Dundas Street West, Toronto, ON M6P 2A3, Canada (The Junction)
2653**43.6738721356**-79.2819259083** Queen St, Toronto, ON M4E 1H8, Canada (The Beaches)
2614**43.6471747378**-79.397487501** Richmond Street West, Toronto, ON M5V 3N4, Canada (Fashion District)
2106**43.70546355**-79.3952197614** Holly St, Toronto, ON M4P 1A6, Canada (Davisville)
1877**43.6685023962**-79.3903871523** Charles Street West, Toronto, ON M5S 1K5, Canada (Downtown Toronto)
1694**43.6981314462**-79.391501968** Davisville Ave, Toronto, ON M4S 1Z3, Canada (Davisville)
3180**43.66312993**-79.3352604682** Bertmount Avenue, Toronto, ON M4M 2X8, Canada (Riverdale)
1614**43.6997871756**-79.3240715439** Glebemount Ave, Toronto, 1 M4C 2Y5, Canada (Old East York)
2031**43.6459700481**-79.4076630851** Richmond St, Toronto, ON M6J 1C4, Canada (Niagara)
2525**43.6998769542**-79.3225372793** Glebemount Ave, Toronto, ON M4C 3V6, Canada (Old East York)
1365**43.7776**-79.4541** 120 Torresdale Ave, Toronto, ON M2R 3N7
1950**43.6894**-79.3988** 70 Heath Street West, Toronto, ON M4V 1T2
3501**43.6636164062**-79.4036410801** Spadina Avenue, Toronto, ON M5S, Canada (Downtown Toronto)
5337**43.660470244**-79.3653563225** Cole Street, Toronto, ON M5A 4M7, Canada (Downtown Toronto)
808**43.6739308978**-79.4439950881** Peterborough Avenue, Toronto, ON M6H 3R3, Canada (Fairbank)
1850**43.693**-79.4698** 1 Yore Road, Toronto, ON M6M 1W4
1465**43.6640711433**-79.3474670663** Cummings St, Toronto, ON M4M 1M8, Canada (Riverdale)
1499**43.6695**-79.3061** 223 Woodbine Avenue, Toronto, ON M4L 1N7
1306**43.6635794113**-79.4441528146** Wallace Ave, Toronto, ON M6H 1V2, Canada (Wallace Emerson)
2614**43.6603142427**-79.4824065479** Annette St, Toronto, ON M6S 3C1, Canada (Runnymede)
3180**43.6458677661**-79.3758432522** Scott St, Toronto, 1 M5E 1B2, Canada (Saint Lawrence)
3265**43.587724934**-79.6328264031** Kariya Dr, Mississauga, ON L5B 3J2, Canada
1695**43.6137**-79.552** Sherway Gardens Road, Toronto, ON 
1600**43.741**-79.3093** 1781 Victoria Park Ave, Toronto, ON M1R 1H5
3200**43.6998**-79.4052** 106 Tranmer Ave, Toronto, ON M5P 2J5
2034**43.6742939342**-79.3880071804** Yonge St, Toronto, ON, Canada (The Annex)
891**43.6919660184**-79.3088407344** Oak Park Ave, Toronto, 1 M4C 4M8, Canada (Woodbine/Lumsden)
2700**43.6854**-79.3952**  Balmoral Avenue, Toronto, ON M4V 1J5
1420**43.7776**-79.4541** 120 Torresdale Ave, Toronto, ON M2R 3N7
1895**43.6439**-79.4032** 700 King Street West, Toronto, ON M6J
1850**43.7916**-79.1525** 371 Centennial Road, Toronto, ON M1C 2A4
979**43.6129116942**-79.7022673786** Boyer Blvd, Mississauga, ON L5V 1Y1, Canada
2495**43.6382**-79.3914** 410 Queens Quay West, Toronto, ON M5V 3T1
1899**43.6359**-79.4665** 1900 Lake Shore Boulevard West, Toronto, ON M6S 1A4
1500**43.6708**-79.3843** 8 Park Road, Toronto, ON M4W 1A9
1180**43.6731887361**-79.3914267119** McAlpine St, Toronto, ON M5R 1H7, Canada (The Annex)
1011**43.7005257312**-79.3192078029** Woodbine Ave, Toronto, ON M4C 4H1, Canada (Woodbine/Lumsden)
1682**43.6435257285**-79.3759727773** Yonge St, Toronto, ON M5E, Canada (Harbourfront)
1600**43.6784**-79.3782** 10 Lamport Avenue, Toronto, ON M4W 1S8
1690**43.6495986809**-79.4406093999** Lansdowne Avenue, Toronto, ON M6K 1T2, Canada (Little Portugal)
2136**43.700673103**-79.3875592965** Davisville Avenue, Toronto, ON M4S 1H2, Canada
1850**43.6843**-79.3123** 21 Mendel Avenue, Toronto, ON M4C 4B5
3593**43.6567753414**-79.3394720345** Morse St, Toronto, ON M4M 2P6, Canada (Studio District)
1500**43.6406**-79.4243** 38 Joe Shuster Way, Toronto, ON M6K 0A4
1504**43.6609164207**-79.3725048841** Pembroke St, Toronto, ON M5A 1Z8, Canada (Garden District)
8196**43.6676127313**-79.3099550773** Northern Dancer Blvd, Toronto, ON M4L, Canada (The Beaches)
726**43.7263720067**-79.2754147778** Chelwood Rd, Toronto, ON M1K 2K5, Canada (Ionview)
800**43.7067**-79.3983** Yonge Street &amp; Eglinton Avenue East, Toronto, ON M4P 3C8
3323**43.6379044154**-79.4143034104** East Liberty Street, Toronto, ON M6K 3R2, Canada (Niagara)
672**43.7261216076**-79.2739144013** Chelwood Rd, Toronto, ON M1K 2K5, Canada (Ionview)
1183**43.6512594176**-79.5271290026** Dundas Street West, Toronto, ON M9A, Canada (Princess)
1496**43.7222**-79.4136** 515 Rosewell Avenue, Toronto, ON M4R 2H8
2718**43.667396661**-79.3808293402** Monteith St, Toronto, ON M4Y, Canada (Downtown Toronto)
1456**43.6568707117**-79.4116487987** Palmerston Blvd, Toronto, ON M6G 2N5, Canada (Palmerston/Little Italy)
